1,24933,23903,4342,3280,25938,29071,872,11493
2,7615,29478,28959,24610,3869,16752,19778,20125
3,4068,23487,29151,6939,13566,17716,28900,12003
4,13454,31806,2168,5792,7312,29128,3013,18801
5,25935,13620,5247,22363,7094,26334,31930,16646
6,4212,20259,5225,14040,17474,27569,26433,4246
7,32550,11357,4510,7730,1194,14196,12140,30187
8,29243,12835,15626,557,25333,18148,24292,27355
9,9472,15318,30096,21880,19199,20651,17396,27140
10,11774,12090,7057,20007,27288,15874,7600,17480
11,25474,2377,17044,14299,8796,22150,861,22865
12,1369,21667,9987,27673,2426,19642,29014,17812
